top_category,order_count,late_count,late_rate,avg_price,avg_delivery_days,avg_weight,late_rate_pct
audio,348,45,0.12931034482758622,148.5302011494253,13.028735632183908,1244.6379310344828,12.93
fashion_underwear_beach,117,15,0.1282051282051282,79.53803418803419,13.564102564102564,283.54700854700855,12.82
home_confort,346,38,0.10982658959537572,154.3450578034682,13.283236994219653,3063.0580539499038,10.98
books_technical,256,28,0.109375,73.7112890625,10.21484375,1021.927734375,10.94
food,436,44,0.10091743119266056,65.52727064220183,9.357798165137615,666.3000764525993,10.09
electronics,2509,247,0.09844559585492228,59.6784296532483,12.463531287365484,767.5235498870732,9.84
christmas_supplies,125,12,0.096,70.03072,14.936,2113.264,9.6
construction_tools_lights,237,22,0.09282700421940929,182.35611814345992,9.354430379746836,4020.3164556962024,9.28
office_furniture,1244,115,0.09244372990353698,211.935924437299,20.258038585209004,11018.342408374048,9.24
baby,2794,258,0.09234073013600573,139.58034359341445,12.234073013600574,3219.759515628728,9.23
construction_tools_construction,731,67,0.09165526675786594,179.23573187414502,10.411764705882353,3012.5873031072892,9.17
health_beauty,8621,774,0.08978076789235588,138.9939322584387,11.628929358543093,986.8791192602779,8.98
unknown,1355,121,0.08929889298892989,118.87426568265683,12.256088560885608,1613.2006396063957,8.93
musical_instruments,606,54,0.0891089108910891,252.9176732673267,12.661716171617162,3148.5839603960394,8.91
bed_bath_table,9239,811,0.08778006277735685,111.3052300032471,12.53295811234982,2185.2812539915253,8.78
furniture_living_room,403,35,0.08684863523573201,163.6209181141439,13.575682382133994,7417.320760959469,8.68
auto,3803,328,0.08624769918485406,143.0587352090455,11.88088351301604,2465.3967262687347,8.62
watches_gifts,5453,468,0.08582431688978544,202.78247570144876,12.365303502659087,589.5647619047619,8.58
furniture_decor,6208,532,0.0856958762886598,114.1946230670103,12.641430412371134,2742.123067840128,8.57
telephony,4071,348,0.08548268238761975,74.57687791697371,12.49349054286416,257.36497993940884,8.55
industry_commerce_and_business,228,19,0.08333333333333333,152.84565789473683,10.482456140350877,6173.654912280701,8.33
home_construction,460,38,0.08260869565217391,170.31926086956523,13.123913043478261,3009.652159420289,8.26
consoles_games,1016,83,0.08169291338582677,139.1859350393701,13.293307086614174,451.1412204724409,8.17
