payment_type,order_count,late_rate,avg_value,avg_installments,late_rate_pct
boleto,19191,0.0887916210723776,116.11910322547028,1.0,8.88
credit_card,73934,0.0794086617794248,136.4188887386047,3.4924121513782564,7.94
debit_card,1483,0.0795684423465947,111.17741065407957,1.0,7.96
voucher,1861,0.0709296077377753,92.2385222998388,1.1171413218699624,7.09
